name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
plugin cleanup{plugin="bevy_render::diagnostic::RenderDiagnosticsPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,292,53,0.000000,1,53,53,53,0.000000
plugin build{plugin="bevy_pbr::volumetric_fog::VolumetricFogPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,123641,0.000096,1,123641,123641,123641,0.000000
plugin finish{plugin="forgia_fps::lenoir::ForgiaLenoirPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,55,0.000000,1,55,55,55,0.000000
asset loading{loader="bevy_shader::shader::ShaderLoader" asset="embedded://bevy_sprite_render\\mesh2d\\color_material.wgsl"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs,332,95171,0.000074,2,47585,57,95114,67215.449303
asset loading{loader="forgia_genome_core::GenomeLoader<forgia_rpg_data::boons::BoonsCatalogue>" asset="genomes/roguelite_boons.toml"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs,332,265265,0.000206,4,66316,79,250498,122842.531805
plugin finish{plugin="bevy_pbr::ssao::ScreenSpaceAmbientOcclusionPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,272,236608,0.000184,1,236608,236608,236608,0.000000
plugin build{plugin="forgia_debug::ForgiaDebugPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,77417,0.000060,1,77417,77417,77417,0.000000
system_commands{name="forgia_fps::load_fps_tuning"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,54,1613,0.000001,1,1613,1613,1613,0.000000
plugin cleanup{plugin="bevy_render::sync_component::SyncComponentPlugin<bevy_render::view::Hdr>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,292,53,0.000000,1,53,53,53,0.000000
system{name="forgia_observability::boons_sensor::sys_write_boons_sensor"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,10295866,0.008003,27079,380,96,55963,542.050377
system{name="bevy_pbr::material::write_material_bind_group_buffers"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,194263100,0.151002,27078,7174,155,248185,6061.330982
asset loading{loader="bevy_gltf::loader::GltfLoader" asset="models/kaykit/hexagon/red/building_blacksmith_red.gltf"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs,332,258819,0.000201,7,36974,71,171554,62712.241688
schedule{name=FixedPostUpdate},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\schedule\schedule.rs,532,149592983,0.116280,7925,18876,5439,475534,13462.056353
system{name="forgia_fps::ammo_systems::sync_ammo_slots_from_genome"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,9946920,0.007732,27079,367,103,915548,6818.636169
system{name="bevy_sprite_render::render::init_sprite_pipeline"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,25748,0.000020,1,25748,25748,25748,0.000000
system{name="bevy_asset::assets::Assets<bevy_mesh::mesh::Mesh>::asset_events_condition"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,2649604,0.002060,27079,97,52,45526,327.350695
system{name="bevy_asset::assets::Assets<forgia_genome_core::Genome<forgia_ui_lib::hud::barks::BarkGenome>>::asset_events"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,733,0.000001,1,733,733,733,0.000000
asset loading{loader="bevy_image::image_loader::ImageLoader" asset="ui/menu_video/frame_0029.webp"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_asset-0.18.1\src\server\loaders.rs,332,14745673,0.011462,7,2106524,115,14706277,5555970.746873
plugin cleanup{plugin="bevy_pbr::prepass::PrepassPipelinePlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,292,55,0.000000,1,55,55,55,0.000000
system{name="bevy_egui::begin_pass_system"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,10645087,0.008275,27079,393,125,33142,249.668879
system{name="bevy_pbr::light_probe::generate::extract_generated_environment_map_entities"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,12227242,0.009504,27079,451,123,13787,211.207392
plugin build{plugin="bevy_render::extract_component::ExtractComponentPlugin<bevy_hanabi::EffectVisibilityClass>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,46586,0.000036,1,46586,46586,46586,0.000000
system{name="forgia_ui::sys_menu_armes"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,22784164,0.017710,27079,841,102,5560404,34123.326781
system{name="bevy_asset::assets::Assets<bevy_audio::audio_source::AudioSource>::asset_events_condition"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,2461692,0.001913,27079,90,52,10150,84.511502
plugin build{plugin="bevy_core_pipeline::experimental::mip_generation::MipGenerationPlugin"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_app-0.18.1\src\app.rs,529,57261,0.000045,1,57261,57261,57261,0.000000
system{name="forgia_worldgen::spawn::sys_spawn_drain"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,11182378,0.008692,27079,412,133,38859,322.645955
system{name="forgia_observability::vram_sensor::sys_write_vram_sensor"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,15425271,0.011990,27079,569,77,531103,10199.709305
system{name="bevy_app::propagate::propagate_output<bevy_ui::ui_node::ComputedUiRenderTargetInfo, ()>"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,11457604,0.008906,27079,423,133,32609,270.462851
system{name="forgia_mode_roguelite::run::sys_collect_soul_wisps"},C:\Users\Antoi\.cargo\registry\src\index.crates.io-1949cf8c6b5b557f\bevy_ecs-0.18.1\src\system\function_system.rs,52,19855849,0.015434,25752,771,370,110032,1325.913536
